Pais,Pais_ID,Ano_Referencia,Populacao_Total,PIB_Per_Capita,Expectativa_Vida
"Hong Kong SAR, China",HKG,2021,7413100.0,49770.5642374739,85.5326829268293
Honduras,HND,2021,10289877.0,2735.14751503977,69.492
Heavily indebted poor countries (HIPC),HPC,2021,870930036.0,1049.99987506014,62.5313735700637
Croatia,HRV,2021,3878981.0,17789.9304736722,76.4243902439025
Haiti,HTI,2021,11374586.0,1835.44394078496,62.613
Hungary,HUN,2021,9630932.0,19030.628130329,74.0658536585366
IBRD only,IBD,2021,4905534420.0,7366.1147382175,71.9745229372711
IDA & IBRD total,IBT,2021,6732972939.0,5764.25548879942,69.6682599282971
IDA total,IDA,2021,1827438519.0,1465.04691576142,63.4773799318061
IDA blend,IDB,2021,639196319.0,1857.19734593257,60.8765357381791
Indonesia,IDN,2021,276758053.0,4287.17313995098,67.452
IDA only,IDX,2021,1188242200.0,1254.09572124934,64.8764634139942
Isle of Man,IMN,2021,84106.0,94299.969348965,80.42
India,IND,2021,1414203896.0,2239.61384367482,67.282
Ireland,IRL,2021,5110585.0,103961.976350649,82.2536585365854
"Iran, Islamic Rep.",IRN,2021,88455488.0,4334.79268631354,73.752
Iraq,IRQ,2021,43071211.0,4868.49431080783,70.704
Iceland,ISL,2021,372520.0,69178.4046960961,83.1658536585366
Israel,ISR,2021,9371400.0,52270.9040241956,82.5
Italy,ITA,2021,59133173.0,36852.5425414951,82.6463414634146
Jamaica,JAM,2021,2837682.0,5165.33782130331,69.085
Jordan,JOR,2021,11066356.0,4183.49998326866,74.204
Japan,JPN,2021,125681593.0,40094.5599795288,84.4456097560976
Kazakhstan,KAZ,2021,19743603.0,9983.60103576902,70.131
Kenya,KEN,2021,53219166.0,2061.35622089594,61.225
Kyrgyz Republic,KGZ,2021,6851224.0,1349.99730650542,71.9
Cambodia,KHM,2021,16974305.0,2167.40324198499,69.301
Kiribati,KIR,2021,128377.0,2222.04829512346,64.148
St. Kitts and Nevis,KNA,2021,46763.0,18361.1449697886,69.271
"Korea, Rep.",KOR,2021,51769539.0,35125.5224984723,83.5268292682927
Kuwait,KWT,2021,4360865.0,34018.6342879647,78.7365853658537
Latin America & Caribbean (excluding high income),LAC,2021,581884231.0,7955.36133413771,71.4377016432982
Lao PDR,LAO,2021,7453194.0,2526.05105018529,67.807
Lebanon,LBN,2021,5718122.0,4045.37391066234,73.65
Liberia,LBR,2021,5259323.0,667.96610514319,61.166
Libya,LBY,2021,7135175.0,4935.82787349801,72.062
St. Lucia,LCA,2021,178522.0,10459.1321248092,69.119
Latin America & Caribbean,LCN,2021,649234493.0,8597.53194021339,71.8141668022871
Least developed countries: UN classification,LDC,2021,1109175268.0,1161.529354921,64.267342334044
Low income,LIC,2021,576076618.0,643.369305022958,62.3799887227483
Liechtenstein,LIE,2021,39182.0,201944.830335076,84.4024390243902
Sri Lanka,LKA,2021,22156000.0,3996.96240014909,76.278
Lower middle income,LMC,2021,3006243027.0,2302.44736874388,66.3662902978306
Low & middle income,LMY,2021,6378645843.0,5485.92472057214,69.6717843895895
Lesotho,LSO,2021,2261542.0,1066.58643600093,54.209
Late-demographic dividend,LTE,2021,2320449542.0,11755.4245358535,76.306088329774
Lithuania,LTU,2021,2808380.0,23870.4594851722,74.0365853658537
Luxembourg,LUX,2021,640064.0,134965.815442152,82.5975609756098
Latvia,LVA,2021,1884490.0,20261.8887788916,72.9804878048781
"Macao SAR, China",MAC,2021,682500.0,45376.314586156,83.7292682926829
St. Martin (French part),MAF,2021,29961.0,21668.3740927942,80.206
Morocco,MAR,2021,36954442.0,3785.93627929688,73.385
Monaco,MCO,2021,38527.0,223823.363960226,85.113
Moldova,MDA,2021,2595809.0,5274.60582195352,68.991
Madagascar,MDG,2021,29691083.0,483.469463351371,62.516
Maldives,MDV,2021,516154.0,10176.143882547,78.052
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2021,767578451.0,5575.27298626728,69.7113193479505
Mexico,MEX,2021,127648148.0,10314.0506725979,69.75
Marshall Islands,MHL,2021,41367.0,6258.61193705127,65.421
Middle income,MIC,2021,5802569225.0,5966.0001578766,70.3957107787488
North Macedonia,MKD,2021,1837114.0,7620.80296977508,73.2463414634146
Mali,MLI,2021,22388630.0,1027.27345365357,59.116
Malta,MLT,2021,518150.0,38065.354346575,82.2585365853659
Myanmar,MMR,2021,53387102.0,1242.72134419599,65.553
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2021,704458802.0,2719.53126773593,68.9280214782653
Montenegro,MNE,2021,625053.0,9377.48879714989,73.8243902439024
Mongolia,MNG,2021,3383741.0,4517.61578018785,71.6451219512195
Northern Mariana Islands,MNP,2021,46979.0,19455.50139424,78.16
Mozambique,MOZ,2021,31707800.0,509.907829475551,60.268
Mauritania,MRT,2021,4734874.0,1947.78918383313,66.762
Mauritius,MUS,2021,1266334.0,9068.97300226707,73.680243902439
Malawi,MWI,2021,20047258.0,617.447520802454,64.782
Malaysia,MYS,2021,34282399.0,10903.1116425938,73.917
North America,NAC,2021,370404272.0,69412.9137512303,76.8657678890549
Namibia,NAM,2021,2810548.0,4412.8355693052,60.85
New Caledonia,NCL,2021,285214.0,35311.5543551452,77.113
Niger,NER,2021,24502140.0,608.722439593808,59.542
Nigeria,NGA,2021,218529286.0,2017.27486481527,53.455
Nicaragua,NIC,2021,6644741.0,2138.38588469449,70.478
Netherlands,NLD,2021,17533044.0,60141.9880911492,81.309756097561
Norway,NOR,2021,5408320.0,93072.8925119571,83.1634146341463
Nepal,NPL,2021,29475010.0,1252.75076731986,68.385
Nauru,NRU,2021,11709.0,14989.6647450751,61.331
New Zealand,NZL,2021,5111300.0,49689.498134519,82.2073170731707
OECD members,OED,2021,1371811773.0,43149.6072484462,78.5886217634772
Oman,OMN,2021,4500424.0,19403.4600160211,75.969
Other small states,OSS,2021,12541889.0,13671.456548983,71.7699719301416
Pakistan,PAK,2021,239477801.0,1455.31922370186,65.773
Panama,PAN,2021,4345405.0,15509.8069109784,77.004
Peru,PER,2021,33155882.0,6826.20255614477,71.596
Philippines,PHL,2021,113100950.0,3484.38593882819,66.675
Palau,PLW,2021,17783.0,13257.2063206433,68.563
Papua New Guinea,PNG,2021,10012896.0,2607.57861874444,64.358
Poland,POL,2021,36981559.0,18635.5088812509,75.3512195121951
Pre-demographic dividend,PRE,2021,1024960313.0,1412.70908920903,60.2752505117259
Puerto Rico (US),PRI,2021,3262711.0,32619.0704601174,79.77
"Korea, Dem. People's Rep.",PRK,2021,26232534.0,,73.437
Portugal,PRT,2021,10361831.0,24711.4510062111,81.3780487804878
Paraguay,PRY,2021,6684182.0,5976.9317978996,68.108
West Bank and Gaza,PSE,2021,4922749.0,3678.63565662194,73.89
Pacific island small states,PSS,2021,2625493.0,3649.53388709298,67.4810209240703
Post-demographic dividend,PST,2021,1116609473.0,50022.0389228787,79.7955815488505
French Polynesia,PYF,2021,279792.0,21982.9038942614,79.571
Qatar,QAT,2021,2504910.0,71751.8831257169,81.083
Romania,ROU,2021,19122059.0,14986.7854904274,72.809756097561
Russian Federation,RUS,2021,144746762.0,12425.029296875,69.900243902439
Rwanda,RWA,2021,13355260.0,829.544845639777,66.85
South Asia,SAS,2021,1634785356.0,2273.72055798689,67.8215299767513
Saudi Arabia,SAU,2021,30784383.0,31920.7653655643,77.089
Sudan,SDN,2021,48066924.0,712.122009277344,64.46
Senegal,SEN,2021,17220867.0,1598.10676952274,66.868
Singapore,SGP,2021,5453566.0,80056.1288247844,83.0926829268293
Solomon Islands,SLB,2021,762591.0,1996.86976779348,68.89
Sierra Leone,SLE,2021,8094602.0,886.192939104469,60.26
El Salvador,SLV,2021,6255782.0,4642.60743101342,69.941
San Marino,SMR,2021,34252.0,54168.9828262684,83.539
Somalia,SOM,2021,17271431.0,549.114742721701,55.703
Serbia,SRB,2021,6834326.0,9680.52798074468,72.780487804878
Sub-Saharan Africa (excluding high income),SSA,2021,1076774079.0,1700.42199943914,60.1774746494858
South Sudan,SSD,2021,10865780.0,,57.047
Sub-Saharan Africa,SSF,2021,1199011925.0,1621.10097013513,60.7034363660672
Small states,SST,2021,19646549.0,12369.0639776112,70.7756825891382
Sao Tome and Principe,STP,2021,221961.0,2362.58827248102,68.026
Suriname,SUR,2021,617896.0,5029.84838543953,68.943
Slovak Republic,SVK,2021,5447247.0,22132.4483028948,74.6146341463415
Slovenia,SVN,2021,2108079.0,29187.369382785,80.6756097560976
Sweden,SWE,2021,10415811.0,61174.9680215622,83.0560975609756
Eswatini,SWZ,2021,1206593.0,3966.29863253832,58.228
Sint Maarten (Dutch part),SXM,2021,41571.0,32548.4366854902,74.505
Seychelles,SYC,2021,99258.0,14982.9111487767,73.3975609756097
Syrian Arab Republic,SYR,2021,21628839.0,663.614245706815,72.418
Turks and Caicos Islands,TCA,2021,45243.0,27329.2885087196,77.234
Chad,TCD,2021,17828273.0,946.358500208374,53.136
East Asia & Pacific (IDA & IBRD countries),TEA,2021,2102350702.0,10086.4785164265,75.3009806060199
Europe & Central Asia (IDA & IBRD countries),TEC,2021,463426293.0,9987.98864443054,72.1539007720004
Togo,TGO,2021,8878379.0,939.613373786407,61.328
Thailand,THA,2021,71727332.0,7057.20754802279,77.606
Tajikistan,TJK,2021,9966908.0,896.748053372182,69.594
Turkmenistan,TKM,2021,7092043.0,7051.20211079213,69.353
Latin America & the Caribbean (IDA & IBRD countries),TLA,2021,633862610.0,8382.42554035091,71.7449274626405
Timor-Leste,TLS,2021,1350139.0,2684.82702378987,66.199
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2021,699536053.0,2712.78189413176,68.893103228232
Tonga,TON,2021,105490.0,4912.57966349119,72.13
South Asia (IDA & IBRD),TSA,2021,1634785356.0,2273.72055798689,67.8215299767513
Sub-Saharan Africa (IDA & IBRD countries),TSS,2021,1199011925.0,1621.10097013513,60.7034363660672
Trinidad and Tobago,TTO,2021,1367558.0,17679.1812561341,71.111
Tunisia,TUN,2021,12048622.0,3906.93926319391,72.893
Turkiye,TUR,2021,84147318.0,9743.21277804855,75.722
Tuvalu,TUV,2021,10194.0,5905.08198095343,65.824
Tanzania,TZA,2021,62830412.0,1159.85656738281,66.131
Uganda,UGA,2021,45910930.0,882.791717442001,66.45
Ukraine,UKR,2021,44298640.0,4775.94580078125,71.631
Upper middle income,UMC,2021,2796326198.0,9905.05583452615,74.7276149865895
Uruguay,URY,2021,3396695.0,17881.818721099,75.434
United States,USA,2021,332099760.0,71307.4017277218,76.3292682926829
Uzbekistan,UZB,2021,34243696.0,2258.51964119278,71.681
St. Vincent and the Grenadines,VCT,2021,102841.0,8641.27904024443,69.132
"Venezuela, RB",VEN,2021,28237826.0,,71.536
British Virgin Islands,VGB,2021,37809.0,,75.297
Virgin Islands (U.S.),VIR,2021,105870.0,42571.0777368471,80.0682926829268
Viet Nam,VNM,2021,98935098.0,3704.1935590038,74.145
Vanuatu,VUT,2021,305868.0,3211.71947349318,69.952
World,WLD,2021,7920861888.0,12418.5659245064,71.2154841745704
Samoa,WSM,2021,213779.0,3947.64517905415,71.096
Kosovo,XKX,2021,1786079.0,5270.42965289833,74.981
"Yemen, Rep.",YEM,2021,37140230.0,522.173511689783,66.019
South Africa,ZAF,2021,61502603.0,6843.39941886204,62.01
Zambia,ZMB,2021,19603607.0,1127.16077872857,62.363
Zimbabwe,ZWE,2021,15797210.0,1724.38727102272,60.135
